"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
968,2029,8,587,1518,35463,80,611,1856,19,566,39,796,111,48,337,139,59
123,269,195,991,143,1838,338,7830,1145,39,791,135,3765,397,302,229,14954,237
84,247,92,698,175,954,247,7179,218,2,517,129,2584,291,141,8,1794,105
56,173,89,499,41,401,293,11521,142,3,576,125,1931,308,164,5,1882,96
50,160,243,1138,79,1579,647,4027,162,467,1768,329,6276,560,373,9,1518,416
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,43,4,0,4,0,0,1,0,4,0,0,0,2,0
489,5,0,3,1642,453,0,6,19,0,0,0,4,0,0,0,2,0
0,3,3,161,1,0,4,0,0,5,3,4,0,5,3,0,0,4
7,319,1,47,4,168,6,43,13,8,16,5,59,5,1,2,12,3
40,23,8,57,73,621,13,72,945,12,44,2,178,19,21,1335,141,9
3,13,14,114,1,34,39,91,7,22,83,16,481,22,10,0,40,17
0,0,2,13,0,0,6,0,0,40,167,5,0,11,5,0,0,12
0,3,1,10,0,11,17,13,0,49,25,9,63,3,8,0,2,12
0,0,2,9,1,2,3,7,0,40,14,3,33,3,2,0,3,7
0,2,0,6,1,4,4,14,0,27,20,6,17,5,2,0,2,6
0,1,0,5,0,4,4,0,0,43,11,2,11,2,5,0,0,5
0,0,0,1,0,3,2,6,0,8,4,2,7,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
0,0,0,0,0,0,2,0,0,8,0,0,0,35,0,0,0,3
0,0,0,0,0,1,0,0,1,17,3,1,17,2,2,0,0,1
0,0,0,0,0,0,0,0,0,7,0,28,0,1,2,0,0,4
0,0,0,0,0,0,66,0,0,4,0,2,0,0,1,0,0,6
0,0,1,0,0,0,3,0,0,2,0,2,0,36,1,0,0,3
0,0,3,0,0,0,0,0,0,6,0,0,0,0,37,0,0,3
0,0,0,3,0,1,2,3,0,9,2,0,9,1,0,0,0,0
0,0,0,3,0,0,1,1,1,2,6,1,12,1,1,0,2,2
0,0,0,1,0,0,4,0,0,1,22,0,0,1,0,0,0,1
0,0,24,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
0,0,0,2,0,0,0,3,0,7,1,1,4,1,0,0,1,0
0,0,1,0,1,0,1,2,0,2,2,1,4,0,1,0,1,0
0,0,0,0,0,0,1,2,0,2,1,2,3,0,1,0,0,0
0,0,0,1,0,0,0,1,0,3,0,0,4,1,0,0,0,0
0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
